"doc_id","text"
"s100.nmf","atendimento especializado Oi você fala com a Caroline qual que eu falo por gentileza vai quica quica posso ajudar eu tenho um plano de telefone com internet e eu já liguei já entrei em contato infelizmente não guardei o protocolo tá porque já faz alg"
"s1010.nmf","atendimento personalizado da Oi Pedro boa noite com quem eu falo na hora se Como que o fixo é vinculado com a com a Oi Velox se cancelou não mas tem que cancelar a outra viu Cancela tudo cancela somente eu voltar para transferir o cancelamento mas o pess"
"s1011.nmf","precarizado Oi Warley Boa noite com quem eu falo com operadora ok ok desde que você entrou em contato mais uma vez com a central a gente vai fazer para resolver o seu problema é que posso vir a te ajudar na minha conta ontem e eu tenho um bônus entra no"
"s1012.nmf","atendimento Oi boa noite meu nome é Margareth com quem falo por gentileza Boa noite Eliane Eliane como vai é por causa da internet porque Deus quis que a gente ficou ontem hoje e falou que em alguns minutos meu telefone voltar a funcionar e que a minha i"
"s1013.nmf","atendimento Oi meu nome é Janine com quem eu falo por gentileza Oi Wagner Oi querida especializado é aqui mesmo na manhã dessa forma o número do fixo por gentileza o telefone é no seu nome mesmo Como é não entendi o nome Wagner Caetano CEF na Rua Re"
"s1014.nmf","especializado Oi Daiane boa noite com quem falo Boa noite eu desbloquei dela desde ontem e até agora nada nem acreditei que tá bloqueado referente ao estado financeiro Quando foi que foi feito o pagamento da fatura já caiu no sistema eu vou solicitar o "
"s1015.nmf","especializado Oi Daiane boa noite com quem falo boa noite tá mudando de casa porque lá porque que não concluiu o atendimento na ligação anterior não concluiu o telefone é o 31987-9604 44 na hora entendi  estou confirmado  lá de Osasco  Ligar dia do"
"s1016.nmf","atendimento especializado a mais boa noite com quem eu falo o seguinte é porque eu tive olhando eu tinha que renovar meu eu gostaria de saber como que tá Por que meu plano vai vencer dia primeiro do nove meu plano é r$ 145 todo mês eu queria saber como"
"s1017.nmf","eu falei só quer que eu falo por gentileza Oi número de atendimento faz a ligação caiu Copa retornando o processo já está vindo Patrulha para mim sair obrigado por aguardar a demora no caso você pode me informar o valor da fatura Oi tempo eu vi hoje"
"s1018.nmf","Olá boa noite eu sou especialista José com quem eu falo por favor o meu marido estava tentando vir aqui em casa tá no meu nome e o acordo que foi feito na hora da compra não tinha chego cedo porque esse valor todo e aí me questionaram o meu marido tam"
"s1019.nmf","especialista João Vitor Boa noite com quem eu falo na ligação da Oi agora me cobrando sendo que eu não recebi a fatura eu já tenho pedido aí você pode verificar tudo bem Me informa Me confirma número com DDD você pode me informar depois se a fatur"
"s101.nmf","especializado Vanessa bom dia com quem eu falo e até gigas de internet 3 gigas de bom no YouTube desde o dia que eu preciso falar no dia 18 de julho certo 3224 Qual que é o nome completo do titular instalação da Silva 76 Pinheiros número do seu CPF t<U+FFFD>"
"s1020.nmf","Boa noite atendimento especializado Oi Sabrina com quem eu falo francês como é que eu faço para te dar não é porque o meu telefone tinha um plano de 60 e alguma coisa reais para me oferecer 57 deixa eu pegar aqui como é que você fez alguma ligação"
"s1021.nmf","atendimento Oi Heloísa Boa noite não quer eu falo oi boa noite tudo certo com a sua solicitação e eu quero tá escrito certo eu vou verificar aqui nesse instante aí você fala em relação aos valores das contas janeiro eu tinha uma conta de r$ 183,96"
"s1022.nmf","especialista Érica Boa noite com quem eu falo especialista Érica Boa noite com quem eu falo no que eu posso ajudar eu tô com fome cansado não resolvi nada qual é o problema para saber o dia do pagamento aí eu vou pagar dia 11 só que a linha caiu ent"
"s1023.nmf","especializado hoje Warley Boa noite com quem eu falo Boa noite a ligação caiu Recuperadora Ok eu mudei de endereço e eu solicitei até o cancelamento na semana passada se ela quer ir a atendente me oferecer uma franquia um valor mais baixo e a transfer<U+FFFD>"
"s1024.nmf","Cláudio boa noite com quem falo  Cláudio boa noite eu falo Boa noite eu queria falar a respeito da do valor né que teve na minha foto sim pode prosseguir  alô  alô  alô  Pior que ele não retorna né vou ter que ligar de novo  aí ele transfere né p"
"s1025.nmf","atendimento Centralizado Oi boa noite meu nome é ébano com quem eu falo meu nome é Maria Julieta chegar e Julieta em qual sala eu tô contando que tá muito assim sabe e eu não estou podendo ficar com esse plano mais o mínimo porque não estou em casa"
"s1026.nmf","atendimento especializado Oi boa noite meu nome é Guilherme com quem eu falo ilimitado eu acabei de colocar Deus na foto da minha outra sobrinha aqueles que desconta no telefone da fatura né assim o fixo que vai contar é o 3338-2756 qual que é o númer"
"s1027.nmf","atendimento especializado Lucas Boa noite com quem eu falo por gentileza traga o número para o Qual você deseja atendimento do final 3485 o clima para mim o nome do titular Thiaguinho os três primeiros dígitos do CPF e o nome do titular do cartão Foi "
"s1028.nmf","atendimento especializado hoje irmã Boa noite com quem eu falo para o meu e-mail mas eu não estou conseguindo acessar eu pedi para cadastrar conta do meu e-mail e eu não conseguindo retirar aqui no caso você tem acesso a casinha Oi porque preciso de al"
"s1029.nmf","boa noite bom dia Sabrina com quem eu falo Boa noite valores de complicado e gostaria que você me ajudasse franquia de 30 minutos para o almoço Então você vai ter que mudar Coligação você utiliza no seu ouvido que você deseja atendimento vou coloca"
"s102.nmf","atendimento especializado Kelly bom dia com quem eu falo você deseja ver se já tem internet disponível para minha internet só que hoje ela tá tudo bem eu vejo para você agora aqui no meu 68 DDD 3246-7635 informa o nome completo do titular da linha os"
"s1030.nmf","preço Samanta Boa noite com quem eu falo Boa noite Jorge ouvir o teu problema tá aqui não tem motivo né para uma outra ligação caso essa ligação cai eu vou estar te retornando é só você manter a linha desocupada tá bom que posso fazer por você"
"s1031.nmf","especialista Tainara boa noite com quem eu falo oi falando um pouco mais alto te ajudando parcelar fatura eu posso fazer parcelamento da fatura que estava em aberto Me confirma o nome completo do titular da linha e os três primeiros dígitos do CPF o núm"
"s1032.nmf","atendimento especializado Oi boa noite meu nome é Lorraine com quem eu falo e 6 14 09 05 que pode me ajudar com isso é só um momento que chegou a fechar alguma cordo tente entender muito bem no caso aqui Nelson São Paulo fixo atual agora já com o ajus"
"s1033.nmf","atendimento especializado hoje meu nome é Jonathan boa tarde Robson 25 32 34 Meu Primeiro Plano o valor total do plano era r$ 120 ou seja quase r$ 20 é mais diferença como é que faz números de CPF titular Robson da Silva Souza lembrar no caso a ligaç"
"s1034.nmf","atendimento especializado Oi Maysa Boa noite com quem eu falo com ele em que posso te ajudar claro eu vou verificar e já informa para a senhora tá me passa o número do telefone com DDD por gentileza o número do CPF 14714 04604619 21929 Ok me aguarde na"
"s1035.nmf","atendimento Oi boa tarde meu nome é Luíza com quem eu falo o quê postura minha chegou e vence hoje uma fatura que vence hoje já tem um bom tempo que eu tenho que ficar fazendo isso é incorreto foi esse mês Teve um aumento aqui queria ver teria como n"
"s1036.nmf","atendimento especializado Oi Maysa Boa noite com quem eu falo Boa noite em que posso te ajudar é que eu também passei lá duas contas que eu nem sabia que ela desistiu de falar para mim eu parcelado em 4 vezes eu tenho que dar uma entrada de 146 e a outr"
"s1037.nmf","atendimento Oi Rayane Boa noite com quem eu falo você é Luiz Felipe Luiz Felipe o número que você deseja atendimento é o (21) 2693-5799 ver se eles obrigada por aguardar me confirma o nome completo os três primeiros dígitos do CPF obrigada pelas inf"
"s1038.nmf","atendimento atendimento a Sabrina o que posso te ajudar só que pede a senha e depois eu queria como é que tá aí não tá dando aqui deixa o telefone 3269-2018 qual as faturas que a senhora pagou na Sabrina Quais foram as faturas que foram pagas Qual qu"
"s1039.nmf","Lígia Boa noite com quem eu falo  ligar para (82) 3272-1185  desbloqueio já foi solicitado mesmo que ele tava mesmo é o prazo tempo aí pode variar de 6 a 24 horas é bom trabalho com o uso da internet e do telefone fixo  é porque agora no posto Aparec"
"s103.nmf","atendimento é bom dia com quem eu falo estou parceiro da Lucineide eu gostaria de conversar com você sobre realizado dia como é que tá diferente acho que ela viajou para 5 megas por que não dava não dava o sinal aquisição de médica a partir de val"
"s1040.nmf","especialista Jean Boa noite com quem falo do pagamento relacionado ao telefone 3623-5304 se encontra uma brisa aqui no sistema mais um momento por favor fatura foi paga hoje velho Qual o valor certo só mais um instante por favor só mais um instante por f"
"s1041.nmf","atendimento especializado Oi boa noite meu nome é Daniele com quem eu falo e não consegui eu preciso de uma posição e cancelamento Talk é do mês de maio duas portas valor mais baixo para você seu telefone seu contrato de vocês aí eu quero agora me"
"s1042.nmf","atendimento especializado Oi Maysa Boa noite com quem eu falo pois o que posso te ajudar onde eu moro só estou ouvindo pode falar acidente que ligou para o tempo certo não esse aí não é cobrado não tá isso aí faz parte do pacote do Velox senhora n<U+FFFD>"
"s1043.nmf","atendimento Oi meu nome é alice' boa noite com quem fala meu nome  como saber se foi trocado Qual é o número da Oi pode falar eu estava falando com você não tem dinheiro formação que ele passou  trocar de número residencial Qual é o número atual "
"s1044.nmf","atendimento Oi boa noite me chamo Juliana só que eu falo o Gustavo que posso ajudar eu tô com uma fatura que chegou aí como é que tu tem uma ligação para o meu celular que foi o telefone daqui de casa às 3:03 e 40 40 minutos venda duração nesse ho"
"s1045.nmf","Acabei de ganhar um boa noite com quem falo em português a menina disse que botou assim não eu cheguei em casa não tem sinal na minha televisão porque agora só um momento enquanto verifico Oi gato desce daí Miguel só mais um momento certo obrigado p"
"s1046.nmf","29 minutos  boa noite meu nome é Cristian com quem eu falo João  Olha eu queria a respeito de um cancelamento de um serviço que foi feito aqui na internet e a terceira moça disse que eu teria que fazer um contrato e após ele se eu não quisesse ele te"
"s1047.nmf","atendimento especializado Oi meu nome é Jonathan Boa noite a todas as vezes que o nosso atendimento número para qual deseja atendimento a 71987 e 9843-3093 qual o motivo da ligação Por gentileza rapaz é o seguinte eu não sei nem se você pode resolve"
"s1048.nmf","atendimento especializado Stephanie Boa noite com quem eu falo mais de meia hora eu tô conseguindo carregar para falar ou de outro tipo de assunto eu tenho que transferir mas eles não estão atendendo não eles desligaram a isso não é da minha conta ca"
"s1049.nmf","atendimento especializado Boa noite meu nome é Lucas com quem eu falo o Lucas o final assim que a gente tem uma coisa que eu posso apagar as galinhas que não era meu era e ele disse que eu posso fazer para para facilitar o pagamento da dívida seria um p"
"s104.nmf","atendimento Oi meu nome é Carlos bom dia com quem eu falo com a Cristiane é que no caso é para fazer o cancelamento da linha de telefone Ligação caiu te retorna por favor o nome do titular da linha Cristiane Maria do Carmo Prudêncio Santos na hora qu"
"s1050.nmf","atendimento especializado Oi boa noite meu nome é Vanessa com quem eu falo por gentileza o telefone que você deseja atendimento 328 Yaoi num pedacinho apagar esse CPF  Crislaine Lima 1780  cancelar dificuldades porque está tendo tanto para o fixo quando"
"s1051.nmf","obrigado boa noite ligação caiu eu farei de tudo para salvar neste número que você está entrando em contato comprador aqui perto eu vou transferir uma pessoa responsável aguarde só um minuto por gentileza só cantando cantando 20 minutos certo só u"
"s1052.nmf","atendimento Oi Fernanda boa noite com quem eu falo Rodrigues problemas problemas na internet Problemas na linha telefônica e hoje mais uma vida se divertindo Eu cheguei agora do trabalho minha mãe disse que tentou acessar a internet durante o dia de hoje"
"s1053.nmf","alô alô especializada Oi Sabrina com quem eu falo por gentileza Maria Nazaré Cardoso Ramos Maria alô Maria Rita chegou a minha conta eu queria contestar na minha conta porque eu fiquei sem internet desde o dia 8 até o dia 25 a Oi TV não está funcion"
"s1054.nmf","atendimento especializado meu nome é Lucas com quem eu falo boa noite gostaria de informar pagamento da fatura Eu comecei a beber ainda confirma nome do titular e os três primeiros números CPF Qual foi a fatura que você pagou sexo momento você pagou e"
"s1055.nmf","se a leitura é uma boa noite com quem falo para celular do meu fixo e queria ver será que não tem como você ver se tem como abaixar o meu plano aí do telefone da internet tá muito caro senhora atendimento para o número 2139-8229 e confirma seu nome "
"s1056.nmf","alô alô alô boa noite Netflix telefone não era para entrar na sua linha do telefone fixo para meu nome completo do titular e CPF quanto foi o valor do plano solicitado para você o que significa viver é por isso que eu tinha fechado se for no valor at"
"s1057.nmf","especializado Oi Daiane boa tarde com quem eu falo Maria Maria Vanessa às vezes eu posso ajudar Olha só vocês colocaram uma coisa na minha fatura que não foi perdida aí eu reclamei pedi para cancelar disseram que eu tinha que ligar no número tal 4,02"
"s1058.nmf","atendimento especializado Oi Pedro Boa tarde com quem eu falo consegue dar identifique Como liberar minha linha certa é o nome que deseja atendimento é o 34986-7270 Aguarde um momento por gentileza viu a ligação caiu e esse telefone disponível no mome"
"s1059.nmf","atendimento especializado Oi meu nome é Marcos boa noite com quem eu falo que eu posso te ajudar o que eu pago 10 megas de internet só chega 5 que já foi falado que aqui para essa região não tem como ser 10 megas já faz mais de um ano que eu tô paga"
"s105.nmf","bom dia com quem eu queria saber porque quando meu marido está aqui em casa ele falou que ela é fibra Obrigado trabalhar e desculpa a demora tá qual que é o número do seu telefone com DDD mais velha do mundo fibra então o que que eu vou fazer para ag"
"s1060.nmf","atendimento especializado Jackson Boa noite que eu falo Jackson Jackson de mesmo número em 3 segundos certinho eu poderia ajudar você diz que amanhã à noite para vocês e a tela travou aqui ele vai demorar um pouco aqui para destravar mas enquanto isso"
"s1061.nmf","atendimento especializado Oi Leandro boa noite com quem eu falo por favor só tem eu só tenho valor da fatura tá em registros 300 e 316 e 22 foi retificada não tem nenhuma novidade tá contando com você falou que ia 316 João estudo que eu vou localiza"
"s1062.nmf","enfrentou aí Pablo Boa noite com quem eu falo consigo parcelar minha conta aí aceita parcelamento para gentileza fala de momentos felizes armazenamento de estoque O que é feito o parcelamento não tem que ser ontem de ontem nem falou foi no final de sem"
"s1063.nmf","segurança atualizado da Oi boa noite para nós vai perder com quem eu falo com você eu fico mais barato no caso Salomé Santo botar televisão na 24220 verificar se está alterado se não concluiu Então você corre não foi alterado realmente o que o pl"
"s1064.nmf","atendimento Itaú "
"s1065.nmf","Acabei de ganhar Boa noite com quem falo e 245149 e tenho um chip da Oi e eu recebo pago r$ 10 na conta eu falo para fixo para móvel da Oi local né só que eu tô recebendo o número é 8812-0678 eu não sei de quem é esse número era anteriormente mas "
"s1066.nmf","Boa noite aqui a Sabrina especialista Oi com quem eu falo por gentileza como é que eu posso te ajudar mas sim ao seu problema senhor com problema ao Senhor com a sua solicitação ela não tá funcionando eu renovei meu plano e Júnior recarga Vivo cobran"
"s1067.nmf","atendimento especializado Airton Boa noite com quem eu falo que eu posso ajudá-lo tem 1 mega só internet não dá pra assistir o vídeo nem de segunda muito lenta toda vez que eu ligo para ele disse que vai aumentar e nunca te achei outra proposta melhor"
"s1068.nmf","atendimento especializado Fabrício Boa noite com quem eu falo qual é o nome cancelar cancelar Marcelo consigo confirmar meu CPF e nome do titular o nome Maria Luiza Machado a minha mãe CPF (49) 9829-7457 dois números de atendimento Qual é o número é"
"s1069.nmf","physalis João Vitor Boa noite com quem eu falo não entendi que tá fazendo cancelar minha conta a ligação caiu tem como transferir para ela como é seu nome tudo bem Anderson só me confirma nome para quadro de atendimento Alô Ermelinda tudo bem aí v"
"s106.nmf","especializado Oi meu nome é Karine com quem eu falo por gentileza tu fala quem tá ligando desde sexta-feira porque eu acho que a Oi todo dia tem manutenção né Essa questão eu quero saber eu liguei para reclamar já eu renovei meu plano e parece que n"
"s1070.nmf","atendimento especializado Oi meu nome é Lucas com quem eu falo mas tem que possa ajudar a fazer um café confirma para mim os três primeiros números do CPF 1718 linha 560 não não é eu quero fazer a retirada de um número do fixo qual seria o número "
"s1071.nmf","atendimento especializado Stephanie Boa noite com quem eu falo você se toca essa foto por Acidente de serviço no valor de 23:20 entendeu ela cancelou mandou outra fatura e não falou sua amiga o número do telefone do senhor esse mês que você tá ligan"
"s1072.nmf","atendimento especializado Oi Daiane boa noite com quem eu falo Boa noite em que posso ajudar a Cláudia já liguei já tô 4450 minutos no telefone não consegui resolver nada e não está sendo usado estou pagando 113 e 55 cantado da minha linha Oi fixo t"
"s1073.nmf","Cláudio boa noite com quem falo Maria Nazaré Ramos eu quero contestar minha conta porque eu estava sem internet até dia 8 ao 25 do Senhor e já entendi atende hoje mais de um mês alguns canais de uma só e veio uma coisa 27 3 27 Qual o nome completo Ma"
"s1074.nmf","atendimento Oi boa noite me chamo Juliana Rosenildo a minha linda família Lima 344 peguei o protocolo me falou que não ia vir mas a cobrança que ele tá com outra fazer o cancelamento da data de cobrança Qual é o CPF do titular por gentileza Obrigada "
"s1075.nmf","asura's especialista questão que eu falo por gentileza o número (22) 2626-2935 o telefone tá mudo e acompanhante só um momento por favor Oi Oi só mais um momento obrigado por ter aguardado Desculpa a demora no caso aqui a sua internet tá histórico o"
"s1076.nmf","atendimento especializado da Oi Pedro boa noite com quem eu falo Boa noite o rapaz que me atendeu falou que já mandou para o e-mail só que eu tô olhando aqui não chegou nada Achei um aplicativo você como fazer pedido cartão de boa noite de fatura bai"
"s1077.nmf","Localizar Maria de Lourdes Sônia Maria Silva de Oliveira Ledo número que você está falando comigo tá bom o DDD e o número que você deseja atendimento ao (91) 3724-3888 ajudá-lo hoje é porque eu tenho uma conta de 5156 e 77 casado e agora o meu tel"
"s1078.nmf","atendimento especializado na boa noite com quem eu falo salvamento Michel Jackson Preto que vende agora é sobre a internet foi Michel e Leonardo falando com você que eu posso te ajudar eu tô com problema eu chamo a internet na internet foto de uma seman"
"s1079.nmf","realizado Oi Daiane boa noite boa noite eu cheguei da casa da minha filha agora a minha vizinha botou minha conta de telefone aqui na minha porta eu tô chorando desesperado aqui da minha conta devendo r$ 178,52 uma coisa que eu pago r$ 40 todo mês entend"
"s107.nmf","cinema atendimento especializado em casa bom dia com quem eu falo Roberto eu posso dar conta na conta de r$ 4 que eu vou verificar obrigado para guardar disco demora tá aqui no sistema esse telefone ele não tem nada que te peço ao serviço mas ele tá n"
"s1080.nmf","atendimento especializado Oi meu nome é Lucas com quem eu falo meu querido eu cancelei a minha linha e a minha internet já tá desligado com menos de 10 dias que eu queria saber se a gente tá bem né porque eu não vou pagar só um momento tá o que aco"
"s1081.nmf","atendimento personalizado Boa noite meu nome é Airton com quem eu falo deixa eu te falar já tô uma hora na na linha Oi tentando resolver dois problemas só que ninguém resolve resolve qualquer problema é muito cara e esse não foi o plano que eu fiz c"
"s1082.nmf","especialista Márcio boa noite engraçado a noite foi que você não quer eu quero saber qual é o valor por favor qual é o valor do plano só tô colocando isso tá cacheado Oi quero saber se a placa mais fácil eu tô olhando agora por isso que eu vivo "
"s1083.nmf","atendimento especializado Patrícia boa noite com quem falo Leandro né Leandro só a ligação cair eu te dou um retorno tá bom oi tudo bom com quem eu falo assim qual livro diz que houve uma gravação paga a conta dele de 2007 vejo qual que é o númer"
"s1084.nmf","atendimento especializado Oi meu nome é Jonathan Boa noite com quem eu falo amizade eu quero ver se fala de novo ok Manteninha disponível te adoro Beatriz o seguinte procedimento seria a instalação de uma nova linha e após a instalação o pedido de p"
"s1085.nmf","fiscalizada Oi boa noite meu nome é Pedro Falcão fala boa noite para você fala comigo Deus possa ajudar eu queria estar cancelando a minha vida "
"s1086.nmf","atendimento especializado meu nome é Lucas com quem eu falo Adilson eu posso te ajudar a dividir contas aí com a Oi informou assim que é assim que a gente fizesse o pagamento da entrada né do parcelamento era para ligar e informar o pagamento para pode"
"s1087.nmf","atendimento especializado Paulo César Boa noite com quem eu falo e noite aqui é o Carlos eu tô tentando falar com o setor de cancelamento não consigo atendimento "
"s1088.nmf","especialista Érica Boa noite com quem eu falo que eu posso te ajudar Olha só eu tava conversando agora eu sou cliente Oi total e passaram por uma série de problemas e a ligação caiu e ela não retornou você deveria fazer uma validação código aí n"
"s1089.nmf","site Eu sou especialista José com quem eu falo isso porque não autorizado ele ficou de me passar o nome completo da Record que você gostaria de fazer o quê mesmo pretendo continuar usando os velhos que não se não for possível baixar um pouco isso eu"
"s108.nmf","meu nome é Cleide bom dia com quem eu falo com atendimento eu sou eu o meu telefone tava instalado em Guarapari e eu transferir ele para escola e eu tava precisando de que só o endereço só a correspondência Rua Virgílio Silva para chegar no endereço"
"s1090.nmf","Metallica envolvido Boa noite com quem eu falo chego às 8 horas da manhã dá uma a 18 e não marcou comigo e não comparece novamente que você tá fazendo isso comigo eu queria ver qual é a possibilidade de cancelar do queria estar cancelando a portabi"
"s1091.nmf","tardezinha boa noite com quem falo Boa noite com quem falo eu não estou sim celular parcelado com essas duas fotos como foi um erro aí que eu não sei que quer arrumar eu não paguei custa para entrar no aplicativo galeria Me confirma o nome do titular d"
"s1092.nmf","atendimento especializado Oi Leandro boa noite com quem falo por favor tá muito de Campos Orquídeas estância localizar o cadastro do senhor aqui telefone (47) 3642-1016 né só um momento por gentileza telefone questão 4736 e 4210 e 647 espíritos 47 S"
"s1093.nmf","atendimento especializado da Oi Pedro boa noite com quem eu falo essas coisas quero botar minha conta lá em baixo link que eu tô cansado de pagar tá vindo 150 220 260 não tá dando não "
"s1094.nmf","atendimento especializado da Oi Pedro boa noite com quem eu falo com a menina me deu mas tá dando errado Poderia verificar o primeiro campo para mim por favor quanto tá mais ou menos o telefone que você quer atendimento para 2122-6544 16 só me confirma"
"s1095.nmf","atendimento Centralizado Oi boa noite meu nome é ébano com quem eu falo é uma semana atrás mais ou menos me ligaram oferecendo para aumentar minha velocidade de Internet e aí conheci uma coisa com uma velocidade eu poderia fechar a rede fora de casa m"
"s1096.nmf","atendimento Oi meu nome é Rubens boa noite não quero falar com você que eu queria achar meu telefone que eu não eu não eu não uso muito meu telefone aqui hoje mas a internet tá entendendo eu queria ver com vocês porque eu não queria perder eu não"
"s1097.nmf","atendimento Oi meu nome é alice' boa noite com quem falo a minha internet está sem sinal eu gostaria de saber porque não tem nenhum amigo tudo apagado tem uma foto de uma pessoa tentou reiniciar o modem já não o nome para qual você quer o atendimento"
"s1098.nmf","especialista Érica Boa noite com quem eu falo negocia na minha cabeça eu não sei porque sim você já tinha ligado anteriormente para informar o pagamento já tinha ligado e o meu pagamento e a minha conta já foi nada né Não entendi não vou verifica"
"s1099.nmf","Boa noite aqui essa menina especialista Oi com quem eu falo Boa noite com sua solicitação foi ganhar porque eu entrei em contato hoje até a hora de mijar Eu quero que tire o cancelamento então eu vou ter que tá fazendo uma solicitação para entrar em"
"s109.nmf","atendimentos realizados Gislaine bom dia com quem eu falo Sérgio manutenção de conta que realmente tá mas esse desconto seria do que esse desconto assim quanto que ela vai quanto valor da linha DDD 91327-9728 qual que é meu nome completo do titular os"
"s10.nmf","mensalizado Oi boa noite meu nome é Jaqueline com quem eu falo ele tá sabendo ainda o contratado é isso a sua linha é a 3424-3529 eu amei aqui em casa tem algum bloqueio na linha tá só momento me informe o nome completo do titular por gentileza cresc"
"s1100.nmf","hoje atendimento especializado Oi boa noite meu nome é Daniele com quem eu falo né Daniele 867286 ligação caiu tinha um boleto no caixa e eu não tô conseguindo porque tá dando o telefone está em nome de quem imagem Santos Neves Tati qual fatura que"
"s1101.nmf","especialista Tainara boa noite com quem eu falo no que posso estar te ajudando no que possa te ajudando obrigado por aguardar Desculpa a demora Heloísa Você pode você pode você gosta me confirmar o nome completo do titular da linha você pode estar me "
"s1102.nmf","atendimento Oi Pablo Boa noite com quem eu falo olha pode por gentileza me informar o nome completo do titular e os três primeiros dígitos do CPF OK Google OK momento por gentileza França em qual telefone cartão por gentileza qual seria a sua solicita<U+FFFD>"
"s1103.nmf","localizar Stephanie Boa noite com quem eu falo Boa noite tô igual 27 DDD 3362-5789 cancelar minha linha "
"s1104.nmf","mas se fala Oi Daiane boa noite com quem eu gostaria de ser Salmos primeiro digito do CPF 480 e 180 e 317 traço 20 mais obrigada por aguardar me desculpa a demora porque que você tá pagando r$ 163,51 onde você tem ligações para telefone fixo ilimitad"
"s1105.nmf","atendimento Oi Heloísa Boa noite com quem eu falo Estação eu tô com um problema já liguei antes eu acho que tem que me encaminhar para o futuro financeiro que tá uma moça falou que estou com contas em atraso só que eu tenho tudo certo eu vou verifi"
"s1106.nmf","cifra de não especializados da Oi Pedro boa noite com quem eu falo para o telefone aí olha aqui para mim aqui tá falando que eu sou o seu plano fixo é de r$ 66,25 e só ela consegue r$ 79,20 falando aqui o valor do seu fixo normal não é o valor total"
"s1107.nmf","resultado de São João Vitor Boa noite com quem eu falo Boa noite meu nome é Ângela eu fiz o pedido instalação do Oi Fixo mais Velox ontem te encontrei o endereço o endereço vida me deram o nome de um processo Posso cantar para você mas eu sei que "
"s1108.nmf","atendimento especializado na boa noite com quem eu falo  Francilene Lima Francilene que eu posso te ajudar em alguma mudança endereço não então tá faltando instalação Oi fixo e o Filipe Já foi instalado só enxerga outra Rua Oscar Você confirmou o"
"s1109.nmf","especializado Oi boa noite meu nome é Bruna roncel fala boa noite sua ligação tá bom tudo bem O número que você quer atendimento ao (22) 3831-5825 em que posso ajudar desagradável entrar em contato com a Oi bom dia 26 para alterar o plano do meu loc"
"s110.nmf","atendimento Oi meu nome é Carlos bom dia com quem eu falo cada dia que passa ajudar eu quero cancelar essa linha 8 da conta Verifique a ligação caiu te retorno obrigado por aguardar me confirmou favor nome completo dicionário completo será desligado p"
"s1110.nmf","Boa noite com quem falo especializado Oi meu nome é Marcos boa noite eu falo com quem a ligação falhou Não te Entende Daniel Bento ZN o que que acontece eu tenho essa linha telefônica que era débito em conta Porque alguns problemas lá no banco e eu "
"s1111.nmf","atendimento especializado em São Boa noite com quem eu falo querido eu fiz um pacote na Oi e aí só que eu fiz o pacote fica só que não acontece todo mês eu tô brigado com a Oi por causa da minha fatura Eu já fui no shopping aonde eu fiz esse pacote"
"s1112.nmf","atendimento especializado Oi boa noite meu nome é com quem eu falo boa noite Sandra posso usar o caso você queira reclamar sobre como eu trabalho o dia todo em casa eu fiquei com fixo só por causa da vela da internet da Oi e da TIM que eu não uso telef"
